Contrato,Cliente,DataContrato,Produto,Banco,NomeBanco,Moeda,TaxaCambio,Qtd_Prestacao,V_Contrato,T_Pago,T_Cancelado,T_Desconto,Saldo,DataUltPrestacao,QtdPrestAbertas,DataUltParcela,QtdPrestVencer
9.010000099E9,60812,2003-04-10,CARTA DE CREDITO,153,CREDIT SUISSE F,R$,1.0,3,2.7941279E7,2000025.0,85571.23999999999,943868.55,2.491181421E7,2013-10-01,"",2013-10-01,""
9.010000103E9,60812,2003-04-10,CARTA DE CREDITO,153,CREDIT SUISSE F,R$,1.0,2,83833.59,1315253.59,0.0,0.0,-1231420.0,2003-05-31,"",2003-05-31,""
9.010000104E9,59097,2004-01-07,GARANTIA,395,BANCO BRADESCO ARGENTINA S.A.,USD,3.8234,1,324989.0,324607.04234000004,0.0,0.0,381.9576599999564,2004-02-13,"",2004-02-13,""
9.010000105E9,60812,2005-01-04,CARTA DE CREDITO,441,BANCO DEL ESTADO DE CHILE,USD,3.8234,1,148542.9134,148424.388,76.468,3.8234,38.23399999998407,2005-05-31,"",2005-05-31,""
9.010000106E9,60812,2006-04-06,CARTA DE CREDITO,41,BANCA MONTE DEI PASCHI DI SIENA SPA,EUR,4.3564,2,771082.7999999999,2115032.2,0.0,0.0,-1343949.4,2006-11-24,"",2006-11-24,""
9.010000107E9,5940,2007-01-17,CARTA DE CREDITO,543,STATE BANK OF INDIA,USD,3.8234,1,291281.676196,291274.029396,0.0,0.0,7.6467999999877065,2007-06-04,"",2007-06-04,""
9.010000113E9,100,2013-01-10,FIRCE 26,222,BANCO BRADESCO S.A.,USD,3.8234,45,6978064.399599999,5996593.7962,0.0,0.0,981470.6034,2019-12-10,30,2019-12-10,4
9.010000203E9,60812,2003-04-10,FIRCE 26,42,THE BANK OF NEW YORK,USD,3.8234,1,18813.957316,18813.957316,0.0,0.0,0.0,2003-05-15,"",2003-05-15,""
9.010000204E9,59097,2004-01-07,GARANTIA,524,BANCO DE LA REPUB.ORIENTAL DEL URUG,USD,3.8234,1,285225.64,285225.64,0.0,0.0,0.0,2004-03-06,"",2004-03-06,""
9.010000205E9,61775,2005-01-20,FINANCEIRO,222,BANCO BRADESCO S.A.,USD,3.8234,2,118502.536068,128.925048,382.34,229.404,117761.86702,2015-09-12,1,2015-09-12,""
9.010000206E9,60812,2013-09-30,FINANCEIRO,222,BANCO BRADESCO S.A.,USD,3.8234,99,6.635514125766408E7,5.106153934596401E7,3823401.9117,191170.0,1.127903E7,2014-07-03,"",2014-07-03,""
9.010000213E9,100,2013-01-14,IMPORTACAO,222,BANCO BRADESCO S.A.,USD,3.8234,12,73029.99872,20458.24872,0.0,0.0,52571.75,2015-12-30,11,2015-12-30,""
9.010000215E9,60812,2016-02-19,FINANCEIRO,45,BANCO DE COMERCIO EXTERIOR S.A.,USD,3.8234,2,9.038994052991E7,9.02369963096E7,0.0,0.0,152944.22031000257,2015-06-10,"",2015-06-10,""
9.010000217E9,5940,2017-01-06,FIANCA,222,BANCO BRADESCO S.A.,USD,3.8234,1,382340.0,3823.4,1911.7,1529.36,375075.54,2017-07-05,1,2018-11-22,""
9.010000217E9,5940,2017-01-06,FIANCA,10,BANK OF AMERICA N.A.,USD,3.8234,1,3.8234,0.0,0.0,0.0,3.8234,2018-11-22,1,2018-11-22,""
9.010000305E9,61775,2005-01-14,IMPORTACAO,222,BANCO BRADESCO S.A.,USD,3.8234,2,131146.596336,131146.596336,0.0,0.0,0.0,2005-07-13,"",2005-07-13,""
9.010000306E9,819,2006-11-24,IMPORTACAO,41,BANCA MONTE DEI PASCHI DI SIENA SPA,EUR,4.3564,8,803111.92408,207839.139088,0.0,0.0,595272.784992,2008-11-21,6,2008-11-21,""
9.010000307E9,224,2007-02-05,IMPORTACAO,222,BANCO BRADESCO S.A.,USD,3.8234,2,499334.013598,499334.013598,0.0,0.0,0.0,2007-03-07,"",2007-03-07,""
9.010000313E9,5940,2013-01-11,FIRCE 26,222,BANCO BRADESCO S.A.,USD,3.8234,20,6444022.134312,435.33232399999997,0.0,0.0,6443586.801988,2019-10-24,19,2019-10-24,""
9.010000315E9,60812,2015-04-30,FINANCEIRO,10,BANK OF AMERICA N.A.,USD,3.8234,2,9.037088183676E7,0.0,0.0,0.0,9.037088183676E7,2015-06-10,2,2015-06-10,""
9.010000318E9,44221,2019-06-25,IMPORTACAO,30,THE LA RUE CO. PLC,USD,3.8234,3,191170.0,0.0,0.0,0.0,191170.0,2019-08-07,3,2019-08-07,""
9.010000403E9,60812,2003-04-10,FIRCE 26,52,BANCO POPULAR ESPANHOL S.A.,USD,3.8234,2,234847.87162199998,234847.87162199998,0.0,0.0,0.0,2003-05-15,"",2003-05-15,""
9.010000404E9,429,2004-01-08,CARTA DE CREDITO,302,STANDARD CHARTERED FIRST BANK KOREA,USD,3.8234,2,366128.784,366128.784,0.0,0.0,0.0,2004-03-03,"",2004-03-03,""
9.010000405E9,61775,2005-01-18,IMPORTACAO,222,BANCO BRADESCO S.A.,USD,3.8234,2,419848.548084,419848.548084,0.0,0.0,0.0,2005-07-15,1,2016-01-10,""
9.010000405E9,61775,2005-01-18,IMPORTACAO,13,BANCO BRADESCO S.A.,USD,3.8234,1,3823.4,0.0,0.0,0.0,3823.4,2016-01-10,1,2016-01-10,""
9.010000406E9,60812,2006-01-03,FINANCEIRO,13,BANCO BRADESCO S.A.,USD,3.8234,2,332516.31875000003,42.0574,0.0,0.0,332474.26135,2016-01-10,1,2016-01-10,""
9.010000407E9,60812,2007-01-02,FINANCEIRO,13,BANCO BRADESCO S.A.,USD,3.8234,3,8.373246E8,8.373246E8,0.0,0.0,0.0,2007-10-31,"",2007-10-31,""
9.010000413E9,5940,2013-01-14,CARTA DE CREDITO,222,BANCO BRADESCO S.A.,USD,3.8234,2,439691.0,0.0,0.0,0.0,439691.0,2013-05-04,2,2013-05-04,""
9.010000415E9,60812,2015-04-30,FINANCEIRO,10,BANK OF AMERICA N.A.,USD,3.8234,2,9.037088183676E7,0.0,0.0,0.0,9.037088183676E7,2015-06-10,2,2015-06-10,""
9.010000503E9,60812,2003-04-10,FIRCE 26,42,THE BANK OF NEW YORK,USD,3.8234,2,171272.567592,171272.567592,0.0,0.0,0.0,2003-07-15,"",2003-07-15,""
9.010000504E9,11808,2004-01-09,CARTA DE CREDITO,331,HONGKONG AND SHANGHAI BANKING CORP,USD,3.8234,2,320718.988646,320718.988646,4052.804,4588.08,-8640.884,2004-07-28,"",2004-07-28,""
9.010000505E9,61775,2005-01-19,IMPORTACAO,222,BANCO BRADESCO S.A.,USD,3.8234,2,98396.384254,98396.384254,0.0,0.0,0.0,2005-07-18,"",2005-07-18,""
9.010000506E9,248,2006-01-13,IMPORTACAO,222,BANCO BRADESCO S.A.,USD,3.8234,2,140207.174954,140207.174954,0.0,0.0,0.0,2006-06-12,"",2006-06-12,""
9.010000507E9,60812,2007-02-01,CARTA DE CREDITO,69,BANK OF AMERICA (ASIA) LTD,USD,3.8234,4,1762894.4954879999,1762894.4954879999,0.0,0.0,0.0,2007-04-30,"",2007-04-30,""
9.010000513E9,100,2013-01-18,IMPORTACAO,221,BANCO BRADESCO S.A.,USD,3.8234,5,1.5808165903921999E7,0.0,0.0,0.0,1.5808165903921999E7,2014-01-13,5,2014-01-13,""
9.010000515E9,60812,2016-02-19,FINANCEIRO,200,BANCO MERCANTIL DE S.P. INTL,USD,3.8234,2,9.037088183676E7,0.0,0.0,0.0,9.037088183676E7,2015-06-10,2,2015-06-10,""
9.010000517E9,5940,2017-01-09,FIANCA,222,BANCO BRADESCO S.A.,USD,3.8234,1,382340.0,0.0,0.0,0.0,382340.0,2017-01-09,1,2017-01-09,""
9.010000603E9,1196,2003-04-10,FIRCE 26,363,BANCO BILBAO VIZCAYA ARGENTARIA,USD,3.8234,2,85506.70877,85506.70877,0.0,0.0,0.0,2003-08-15,"",2003-08-15,""
9.010000605E9,95,2005-01-04,CARTA DE CREDITO,675,BANK OF AMERICA N.A.,USD,3.8234,10,1281890.282064,1140944.464464,0.0,0.0,140945.8176,2005-05-31,1,2005-05-31,""
9.010000615E9,60812,2016-02-19,FINANCEIRO,10,BANK OF AMERICA N.A.,USD,3.8234,2,9.037088183676E7,2295039.43676,0.0,0.0,8.80758424E7,2015-06-10,"",2015-06-10,""
9.010000705E9,61775,2005-01-20,IMPORTACAO,222,BANCO BRADESCO S.A.,USD,3.8234,2,286500.667432,286500.667432,0.0,0.0,0.0,2005-07-19,"",2005-07-19,""
9.010000713E9,100,2013-01-18,IMPORTACAO,221,BANCO BRADESCO S.A.,USD,3.8234,6,1.18620985E7,8889405.0,0.0,0.0,2972693.5,2014-01-13,3,2014-01-13,""
9.010000715E9,60812,2015-04-30,FINANCEIRO,10,BANK OF AMERICA N.A.,USD,3.8234,2,9.037088183676E7,0.0,0.0,0.0,9.037088183676E7,2015-06-10,2,2015-06-10,""
9.010000717E9,100,2017-01-30,IMPORTACAO,222,BANCO BRADESCO S.A.,USD,3.8234,2,387119.25,3823.4,0.0,0.0,383295.85,2017-07-29,1,2017-07-29,""
9.010000805E9,61775,2005-01-24,IMPORTACAO,222,BANCO BRADESCO S.A.,USD,3.8234,2,95188.43695199999,95188.43695199999,0.0,0.0,0.0,2005-07-22,"",2005-07-22,""
9.010000807E9,27319,2007-04-30,IMPORTACAO,222,BANCO BRADESCO S.A.,JPY,0.0356,2,4160.199624,4160.199624,0.0,0.0,0.0,2007-07-30,"",2007-07-30,""
9.010000815E9,60812,2015-04-30,FINANCEIRO,10,BANK OF AMERICA N.A.,USD,3.8234,2,9.037088183676E7,2294040.0,0.0,0.0,8.807684183676E7,2015-06-10,1,2015-06-10,""
