Contrato;Cliente;DataContrato;Produto;Banco;NomeBanco;Moeda;TaxaCambio;Qtd_Prestacao;V_Contrato;T_Pago;T_Cancelado;T_Desconto;Saldo;DataUltPrestacao;QtdPrestAbertas;DataUltParcela;QtdPrestVencer
9.010000099E9;60812;2003-04-10;CARTA DE CREDITO;153;CREDIT SUISSE F;R$;1.0;1;8989000.0;25.0;25.68;589.99;8988359.33;2011-04-21;"";2011-04-21;""
9.010000103E9;60812;2003-04-10;CARTA DE CREDITO;153;CREDIT SUISSE F;R$;1.0;2;83833.59;1315253.59;0.0;0.0;-1231420.0;2003-05-31;"";2003-05-31;""
9.010000104E9;59097;2004-01-07;GARANTIA;395;BANCO BRADESCO ARGENTINA S.A.;USD;3.8423;1;326595.5;326211.65423;0.0;0.0;383.84577000001445;2004-02-13;"";2004-02-13;""
9.010000105E9;60812;2005-01-04;CARTA DE CREDITO;441;BANCO DEL ESTADO DE CHILE;USD;3.8423;1;149277.1973;149158.08599999998;76.846;3.8423;38.42300000001867;2005-05-31;"";2005-05-31;""
9.010000106E9;60812;2006-04-06;CARTA DE CREDITO;41;BANCA MONTE DEI PASCHI DI SIENA SPA;EUR;4.331;2;766587.0000000001;2102700.5000000005;0.0;0.0;-1336113.5000000002;2006-11-24;"";2006-11-24;""
9.010000107E9;5940;2007-01-17;CARTA DE CREDITO;543;STATE BANK OF INDIA;USD;3.8423;1;292721.552662;292713.868062;0.0;0.0;7.684599999978673;2007-06-04;"";2007-06-04;""
9.010000113E9;100;2013-01-10;FIRCE 26;222;BANCO BRADESCO S.A.;USD;3.8423;45;7012558.676200001;29750.9289;0.0;0.0;6982807.7473;2019-12-10;44;2019-12-10;4
9.010000203E9;60812;2003-04-10;FIRCE 26;42;THE BANK OF NEW YORK;USD;3.8423;1;18906.959302;18906.959302;0.0;0.0;0.0;2003-05-15;"";2003-05-15;""
9.010000204E9;59097;2004-01-07;GARANTIA;524;BANCO DE LA REPUB.ORIENTAL DEL URUG;USD;3.8423;1;286635.57999999996;286635.57999999996;0.0;0.0;0.0;2004-03-06;"";2004-03-06;""
9.010000205E9;61775;2005-01-20;FINANCEIRO;222;BANCO BRADESCO S.A.;USD;3.8423;2;119088.32304599998;129.562356;384.22999999999996;230.53799999999998;118343.99268999998;2015-09-12;1;2015-09-12;""
9.010000206E9;60812;2013-09-30;FINANCEIRO;222;BANCO BRADESCO S.A.;USD;3.8423;99;6.668315092700802E7;4.747165092700801E7;1.92115;0.0;1.921149807885E7;2014-07-03;1;2014-07-03;""
9.010000213E9;100;2013-01-14;IMPORTACAO;222;BANCO BRADESCO S.A.;USD;3.8423;12;73391.00384;20559.37884;0.0;0.0;52831.625;2015-12-30;11;2015-12-30;""
9.010000215E9;60812;2016-02-19;FINANCEIRO;45;BANCO DE COMERCIO EXTERIOR S.A.;USD;3.8423;2;9.0836760082145E7;9.067827173905501E7;0.0;0.0;158488.3430899923;2015-06-10;1;2015-06-10;""
9.010000217E9;5940;2017-01-06;FIANCA;222;BANCO BRADESCO S.A.;USD;3.8423;1;384230.0;0.0;0.0;0.0;384230.0;2017-07-05;2;2018-11-22;""
9.010000217E9;5940;2017-01-06;FIANCA;10;BANK OF AMERICA N.A.;USD;3.8423;1;3.8423;0.0;0.0;0.0;3.8423;2018-11-22;2;2018-11-22;""
9.010000305E9;61775;2005-01-14;IMPORTACAO;222;BANCO BRADESCO S.A.;USD;3.8423;2;131794.885992;131794.885992;0.0;0.0;0.0;2005-07-13;"";2005-07-13;""
9.010000306E9;819;2006-11-24;IMPORTACAO;41;BANCA MONTE DEI PASCHI DI SIENA SPA;EUR;4.331;8;798429.3782000002;206627.33252000003;0.0;0.0;591802.0456800001;2008-11-21;6;2008-11-21;""
9.010000307E9;224;2007-02-05;IMPORTACAO;222;BANCO BRADESCO S.A.;USD;3.8423;2;501802.34358099994;501802.34358099994;0.0;0.0;0.0;2007-03-07;"";2007-03-07;""
9.010000313E9;5940;2013-01-11;FIRCE 26;222;BANCO BRADESCO S.A.;USD;3.8423;20;6475876.509564001;437.48427799999996;0.0;0.0;6475439.025286;2019-10-24;19;2019-10-24;""
9.010000315E9;60812;2015-04-30;FINANCEIRO;10;BANK OF AMERICA N.A.;USD;3.8423;2;9.081760717722E7;0.0;0.0;0.0;9.081760717722E7;2015-06-10;2;2015-06-10;""
9.010000403E9;60812;2003-04-10;FIRCE 26;52;BANCO POPULAR ESPANHOL S.A.;USD;3.8423;2;236008.782009;236008.782009;0.0;0.0;0.0;2003-05-15;"";2003-05-15;""
9.010000404E9;429;2004-01-08;CARTA DE CREDITO;302;STANDARD CHARTERED FIRST BANK KOREA;USD;3.8423;2;367938.648;367938.648;0.0;0.0;0.0;2004-03-03;"";2004-03-03;""
9.010000405E9;61775;2005-01-18;IMPORTACAO;222;BANCO BRADESCO S.A.;USD;3.8423;2;421923.961998;421923.961998;0.0;0.0;0.0;2005-07-15;1;2016-01-10;""
9.010000405E9;61775;2005-01-18;IMPORTACAO;13;BANCO BRADESCO S.A.;USD;3.8423;1;3842.2999999999997;0.0;0.0;0.0;3842.2999999999997;2016-01-10;1;2016-01-10;""
9.010000406E9;60812;2006-01-03;FINANCEIRO;13;BANCO BRADESCO S.A.;USD;3.8423;2;334160.02812499995;42.265299999999996;0.0;0.0;334117.762825;2016-01-10;1;2016-01-10;""
9.010000407E9;60812;2007-01-02;FINANCEIRO;13;BANCO BRADESCO S.A.;USD;3.8423;3;8.414637E8;8.414637E8;0.0;0.0;0.0;2007-10-31;"";2007-10-31;""
9.010000413E9;5940;2013-01-14;CARTA DE CREDITO;222;BANCO BRADESCO S.A.;USD;3.8423;2;441864.5;0.0;0.0;0.0;441864.5;2013-05-04;2;2013-05-04;""
